cafe_name,location_name,full_address,main_food,like,image
청수당갤러리,가로수길,서울 강남구 신사동 544-9,"드립커피, 카페",2,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316101146_photo1_4f29965b2826.jpg
소나,가로수길,서울특별시 강남구 신사동 520-1 201호,"샴페인, 디저트코스, 카페",47,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200330123005_photo01_681d7cf9a94f.jpg
수수커피,가로수길,서울특별시 강남구 신사동 512-8,"카페, 커피",49,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200610103917_photo1_ada3c83e2669.jpg
웻커피 가로수길점,가로수길,서울특별시 강남구 신사동 507-3 1층,"아이스라떼, 카페",2,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200706110008_photo1_06d69fb0c864.jpg
소진담,가로수길,"서울시 강남구 신사동 551-23 B1, 1F","케이크, 쑥라떼, 카페",0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210205115812880_photo_15aff1843b38.jpg
이코복스커피,가로수길,서울특별시 강남구 신사동 534-10,"카페, 커피",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210210225545_photo1_8fa4eb99a476.jpg
컨플릭트스토어,가로수길,서울특별시 강남구 신사동 551-24,"카페, 커피",5,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191112101134_photo1_ada3c83e2669.jpg
랑꼬뉴,가로수길,서울특별시 강남구 신사동 556-27,"아메리카노, 타르트, 카페",4,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200808221021_photo2_7cadc6174a28.jpg
노이에 아트멍,가로수길,서울시 강남구 신사동 559-9,"아메리카노, 브런치카페, 카페",4,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200902120443546_photo_4e25a1bf375c.jpg
레이브릭스,가로수길,서울특별시 강남구 신사동 555-13,"아메리카노, 카페",23,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200607080245_photo1_7861299e37b9.jpg
당옥,가로수길,서울특별시 강남구 신사동 521-5,"아이스크림, 케이크, 카페",9,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201222084737_photo1_0UoOZNlTenDO.jpg
인딕슬로우,가로수길,서울특별시 강남구 신사동 525-4,"인도요리, 인도커리, 카페",10,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201125064813_photo1_JNKBfw5EbtCx.jpg
나따오비까,가로수길,서울특별시 강남구 신사동 519-28,"에그타르트, 카페, 카페라떼",8,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210318020428_photo2_JNKBfw5EbtCx.jpg
테일러커피 연남1호점,연남동,서울특별시 마포구 연남동 224-41,"아메리카노, 플랫화이트, 카페",367,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403213814_photo2_d91612ad5865.jpg
벌스,연남동,서울특별시 마포구 연남동 246-22 벌스하우스 ,"아메리카노, 카페, 플라워카페",416,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210421064033063_photo_ROIEHd5UhphT.jpg
듀윗,연남동,서울특별시 마포구 연남동 260-14,"아메리카노, 몽블랑, 카페",163,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200830050124_photo1_7ccd534b22d5.jpg
사르르,연남동,서울특별시 마포구 연남동 260-25,"팬케이크, 아메리카노, 카페",235,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200713085052453_photo_9ea905994d0e.jpg
연남살롱,연남동,서울시 마포구 연남동 561-59,"밀크티빙수, 커피빙수, 카페",127,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200808214812_photo1_7cadc6174a28.jpg
커피리브레,연남동,서울특별시 마포구 연남동 227-15,"아메리카노, 카페라떼, 카페",176,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210125115719_photo1_77513f8dd560.jpg
얼스어스,연남동,서울특별시 마포구 연남동 239-49,"케이크, 아메리카노, 카페",28,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322073312922_photo_9ea905994d0e.jpg
레이어드,연남동,서울특별시 마포구 연남동 223-20,"아메리카노, 스콘, 카페",45,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210402161055_photo2_PueNis1ySK8Q.jpg
카페 하이웨스트,연남동,서울특별시 마포구 연남동 223-80,"아메리카노, 카페라떼, 카페",54,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200922102933305_photo_800334b0bbec.jpg
17도씨,연남동,서울특별시 마포구 연남동 257-21,"소프트아이스크림, 초콜릿카페, 카페",118,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200726055832120_photo_714b8e25c93f.jpg
실론살롱,연남동,서울특별시 마포구 연남동 227-15,"당근케이크, 밀크티, 카페",149,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210416020635952_photo_ffc0ca0f88e0.jpg
연남방앗간,연남동,서울특별시 마포구 연남동 257-22,"아이스아메리카노, 자두에이드, 이색카페",29,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328042202_photo1_0w9x45O7tQVO.jpg
콩카페 연남점,연남동,서울특별시 마포구 연남동 223-114,"코코넛스무디커피, 코코넛스무디, 카페",11,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200729044945_photo1_a8KtahP0JSRT.jpg
