restaurant_name,location_name,full_address,main_food,like,image
배드파머스,가로수길,서울특별시 강남구 신사동 523-21,샌드위치,728,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200330124319_photo03_681d7cf9a94f.jpg
김수사,가로수길,서울특별시 강남구 논현동 4-19 혜정빌딩 1층,스시오마카세,548,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210128032459050_photo_958b27cde044.jpg
네기 다이닝라운지,가로수길,서울특별시 강남구 신사동 540-19,"마구로, 사시미모리아와세",328,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200301040920_photo1_885a44729544.jpg
에머이 가로수길점,가로수길,서울특별시 강남구 신사동 540-22,"쌀국수, 양지쌀국수",258,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210207010753_photo1_JNKBfw5EbtCx.jpg
베러댄비프,가로수길,서울특별시 강남구 신사동 514-9,"삼겹살, 막걸리",900,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210118094220_photo1_616743bf2b15.jpg
감성타코,가로수길,서울특별시 강남구 신사동 523-16,"파히타, 타코",347,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403052713_photo1_a5c588dcba33.jpg
겟썸커피,가로수길,서울특별시 강남구 신사동 551-32,"스콘, 아이스아메리카노",244,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210416112532_photo1_bb49b9b17e28.jpg
은행골 신사점,가로수길,서울특별시 강남구 신사동 537-2 2층,"초밥, 연어초밥",123,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210326061256_photo2_c88623ac0c22.jpg
지구당,가로수길,서울특별시 강남구 신사동 546-20,"규동, 텐동",300,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201220092509_photo1_4f29965b2826.jpg
에이블,가로수길,서울특별시 강남구 신사동 547-6 2층,"에그베네딕트, 아메리카노",221,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201029095818269_photo_4e25a1bf375c.jpg
지아니스나폴리 가로수길점,가로수길,서울특별시 강남구 신사동 541-6,"감베리크레마, 화덕피자",289,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200709125052328_photo_4e25a1bf375c.jpg
딸부자네불백,가로수길,서울특별시 강남구 신사동 508-6,소불백,434,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201003115327_photo1_0557f756283a.jpg
듀자미,가로수길,서울특별시 강남구 신사동 535-9,"케이크, 딸기케이크",207,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210221124352_menu2_e5ca9fb9c466.jpg
유노추보,가로수길,서울특별시 강남구 신사동 524-14,돈코츠라멘,200,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191227103117_photo1_po3mNtJYCD3F.jpg
키친랩 가로수길점,가로수길,서울특별시 강남구 신사동 524-18,"리조또, 크림리조또",171,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201205025458_photo1_2be0efcb435d.jpg
오리지널 팬케이크 하우스,가로수길,서울특별시 강남구 신사동 523-20,"팬케이크, 프렌치토스트",163,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210315001145_photo2_ba48e8dc69bc.jpg
리북집 신사점,가로수길,서울특별시 강남구 신사동 537-10,"족발, 감자전",118,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210302094351_photo1_1fd7fdea8d84.jpg
우유니아이스크림,가로수길,서울특별시 강남구 신사동 529-6,아이스크림,46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210413033604701_photo_57d74562f60f.jpg
정돈 프리미엄 가로수길점,가로수길,서울특별시 강남구 신사동 519-4,히레카츠,55,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201124104242951_photo_e60ebba31261.jpg
더 가든 키친,가로수길,서울특별시 서초구 잠원동 6-1 본관1층,뷔페,92,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200708110739075_photo_2d0560072954.jpg
우와,가로수길,서울특별시 강남구 신사동 508-8,"야끼소바, 오꼬노미야끼",58,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200722185808_photo1_0761d83564e3.jpg
